Scientific.Name	row_ids	AphiaID	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	acceptedNameUsage	parentNameUsage	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	modified	bibliographicCitation	references	identifier	title	datasetID.y	Accepted_AphiaID	parent_AphiaID	speciesNOsubgenus	parent_NCBI	accepted_NCBI	row_id	Project.Request	Point.of.Contact.for.Submission	Email	Common.Name	Survey.Type
ALIA	R00699;R11259	512256	urn:lsid:marinespecies.org:taxname:512256	urn:lsid:marinespecies.org:taxname:512256	urn:lsid:marinespecies.org:taxname:512256	urn:lsid:marinespecies.org:taxname:23009	Alia	Alia	Columbellidae	NA	NA	Animalia	Mollusca	Gastropoda	Neogastropoda	Columbellidae	Alia	NA	NA	NA	Genus	H. Adams & A. Adams, 1853	accepted	2019-11-10	MolluscaBase eds. (2024). MolluscaBase. Alia H. Adams & A. Adams, 1853. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=512256	https://www.marinespecies.org/aphia.php?p=taxdetails&id=512256	NA	NA	NA	512256	23009	NA	NCBI:txid74056	NA	R00699	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
ALIA	R00699;R11259	512256	urn:lsid:marinespecies.org:taxname:512256	urn:lsid:marinespecies.org:taxname:512256	urn:lsid:marinespecies.org:taxname:512256	urn:lsid:marinespecies.org:taxname:23009	Alia	Alia	Columbellidae	NA	NA	Animalia	Mollusca	Gastropoda	Neogastropoda	Columbellidae	Alia	NA	NA	NA	Genus	H. Adams & A. Adams, 1853	accepted	2019-11-10	MolluscaBase eds. (2024). MolluscaBase. Alia H. Adams & A. Adams, 1853. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=512256	https://www.marinespecies.org/aphia.php?p=taxdetails&id=512256	NA	NA	NA	512256	23009	NA	NCBI:txid74056	NA	R11259	MARINe	Peter Raimondi	raimondi@ucsc.edu	NA	Encountered
ALMYRACUMA	R03305	157808	urn:lsid:marinespecies.org:taxname:157808	urn:lsid:marinespecies.org:taxname:157808	urn:lsid:marinespecies.org:taxname:157808	urn:lsid:marinespecies.org:taxname:110383	Almyracuma	Almyracuma	Nannastacidae	Jones, N. S.; Burbanck, W. D. (1959). Almyracuma proximoculi gen. et sp. nov.(Crustacea, Cumacea) from brackish water of Cape Cod, Massachusetts. <em>The Biological Bulletin.</em> 116(1), 115-124.	1959	Animalia	Arthropoda	Malacostraca	Cumacea	Nannastacidae	Almyracuma	NA	NA	NA	Genus	Jones & Burbanck, 1959	accepted	2018-04-26	Watling, L.; Gerken, S. (2024). World Cumacea Database. Almyracuma Jones & Burbanck, 1959. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=157808	https://www.marinespecies.org/aphia.php?p=taxdetails&id=157808	NA	NA	NA	157808	110383	NA	NCBI:txid94566	NA	R03305	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
ALVANIA	R00711	138439	urn:lsid:marinespecies.org:taxname:138439	urn:lsid:marinespecies.org:taxname:138439	urn:lsid:marinespecies.org:taxname:138439	urn:lsid:marinespecies.org:taxname:123	Alvania	Alvania	Rissoidae	Risso, A. (1826-1827). Histoire naturelle des principales productions de l'Europe Méridionale et particulièrement de celles des environs de Nice et des Alpes Maritimes. <em>[book series].</em> 400 pp., 13 pls. [volumes 1-5. Paris, F.G. Levrault. vol. 3. Mammifères. Oiseaux. Poissons / vol. 4. Mollusques. Annélides / vol. 5. Crustacés. Myriapodes, scorpionides, arachnides et acarides. Insectes. Vers intestinaux. Radiaires. Zoophytes].	1826-1827	Animalia	Mollusca	Gastropoda	Littorinimorpha	Rissoidae	Alvania	NA	NA	NA	Genus	Risso, 1826	accepted	2017-11-27	MolluscaBase eds. (2024). MolluscaBase. Alvania Risso, 1826. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138439	https://www.marinespecies.org/aphia.php?p=taxdetails&id=138439	NA	NA	NA	138439	123	NA	NCBI:txid122955	NA	R00711	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
AMATHIA	R00721	111022	urn:lsid:marinespecies.org:taxname:111022	urn:lsid:marinespecies.org:taxname:111022	urn:lsid:marinespecies.org:taxname:111022	urn:lsid:marinespecies.org:taxname:110802	Amathia	Amathia	Vesiculariidae	Lamouroux, J. V. F. (1812). Extrait d'un mémoire sur la classification des Polypiers coralligènes non entièrement pierreux. Nouveau Bulletin scientifique de la Société Philosophique, 3: 181-188	1812	Animalia	Bryozoa	Gymnolaemata	Ctenostomatida	Vesiculariidae	Amathia	NA	NA	NA	Genus	Lamouroux, 1812	accepted	2004-12-21	Bock, P. (2024). World List of Bryozoa. Amathia Lamouroux, 1812. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=111022	https://www.marinespecies.org/aphia.php?p=taxdetails&id=111022	NA	NA	NA	111022	110802	NA	NCBI:txid98850	NA	R00721	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
AMATHIMYSIS	R03334	161530	urn:lsid:marinespecies.org:taxname:161530	urn:lsid:marinespecies.org:taxname:161530	urn:lsid:marinespecies.org:taxname:161530	urn:lsid:marinespecies.org:taxname:148709	Amathimysis	Amathimysis	Erythropini	Brattegard, T. (1969). Marine biological Investigations in the Bahamas 10. Mysidacea from shallow water in the Bahamas and southern Florida. Part 1. <em>Sarsia.</em> 39: 17-106.	1969	Animalia	Arthropoda	Malacostraca	Mysida	Mysidae	Amathimysis	NA	NA	NA	Genus	Brattegard, 1969	accepted	2016-12-23	Mees, J.; Meland, K. (Eds) (2012 onwards). World List of Lophogastrida, Stygiomysida and Mysida. Amathimysis Brattegard, 1969. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=161530	https://www.marinespecies.org/aphia.php?p=taxdetails&id=161530	NA	NA	NA	161530	148709	NA	NA	NA	R03334	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
AMERICHELIDIUM	R00727	415039	urn:lsid:marinespecies.org:taxname:415039	urn:lsid:marinespecies.org:taxname:415039	urn:lsid:marinespecies.org:taxname:415039	urn:lsid:marinespecies.org:taxname:101400	Americhelidium	Americhelidium	Oedicerotidae	Bousfield E.L. & Chevrier A. (1996). The Amphipod Family Oedicerotidae on the Pacific Coast of North America. 1. The Monoculodes & Synchelidium Generic Complexes: Systematics and Distributional Ecology. Amphipacifica, 2, 2, 75-148.	1996	Animalia	Arthropoda	Malacostraca	Amphipoda	Oedicerotidae	Americhelidium	NA	NA	NA	Genus	Bousfield & Chevrier, 1996	accepted	2010-11-19	Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilas-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Valls Domedel, G.; Vonk, R.; White, K.; Zeidler, W. (2024). World Amphipoda Database. Americhelidium Bousfield & Chevrier, 1996. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=415039	https://www.marinespecies.org/aphia.php?p=taxdetails&id=415039	NA	NA	NA	415039	101400	NA	NCBI:txid181113	NA	R00727	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
AMERICOROPHIUM	R03009	415041	urn:lsid:marinespecies.org:taxname:415041	urn:lsid:marinespecies.org:taxname:415041	urn:lsid:marinespecies.org:taxname:415041	urn:lsid:marinespecies.org:taxname:431323	Americorophium	Americorophium	Corophiini	Bousfield, E. L.; Hoover, P. M. (1997). The amphipod superfamily Corophioidea on the Pacific Coast of North America. Part V. Family Corophiidae: Corophiinae, new subfamily. <em>Systematics and distributional ecology. Amphipacifica.</em> 2(3): 67-139.	1997	Animalia	Arthropoda	Malacostraca	Amphipoda	Corophiidae	Americorophium	NA	NA	NA	Genus	Bousfield & Hoover, 1997	accepted	2023-11-04	Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilas-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Valls Domedel, G.; Vonk, R.; White, K.; Zeidler, W. (2024). World Amphipoda Database. Americorophium Bousfield & Hoover, 1997. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=415041	https://www.marinespecies.org/aphia.php?p=taxdetails&id=415041	NA	NA	NA	415041	431323	NA	NA	NA	R03009	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
AMPHILOCHOIDES	R03398	101448	urn:lsid:marinespecies.org:taxname:101448	urn:lsid:marinespecies.org:taxname:101448	urn:lsid:marinespecies.org:taxname:101448	urn:lsid:marinespecies.org:taxname:101365	Amphilochoides	Amphilochoides	Amphilochidae	Sars, G.O. (1892). Amphipoda. Part X. Amphilochidae, Stenothoidae (part). An account of the Crustacea of Norway, with short descriptions and figures of all the species. <em>Cammermeyer, Christiana (Oslo).</em> I: 212-236, pls 73-80.	1892	Animalia	Arthropoda	Malacostraca	Amphipoda	Amphilochidae	Amphilochoides	NA	NA	NA	Genus	G.O. Sars, 1892	accepted	2022-05-19	Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilas-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Valls Domedel, G.; Vonk, R.; White, K.; Zeidler, W. (2024). World Amphipoda Database. Amphilochoides G.O. Sars, 1892. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=101448	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101448	NA	NA	NA	101448	101365	NA	NCBI:txid371476	NA	R03398	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
AMPHITRITE	R00792	129686	urn:lsid:marinespecies.org:taxname:129686	urn:lsid:marinespecies.org:taxname:129686	urn:lsid:marinespecies.org:taxname:129686	urn:lsid:marinespecies.org:taxname:322591	Amphitrite	Amphitrite	Terebellini	Müller, Otto Friedrich. 1771. Von Würmern des süssen und salzigen Wassers. 1-200. H. Mumme and Faber. Copenhagen.	1771	Animalia	Annelida	Polychaeta	Terebellida	Terebellidae	Amphitrite	NA	NA	NA	Genus	Müller, 1771	accepted	2020-12-23	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Amphitrite Müller, 1771. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=129686	https://www.marinespecies.org/aphia.php?p=taxdetails&id=129686	NA	NA	NA	129686	322591	NA	NA	NA	R00792	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
ANARTHRON	R00810	291421	urn:lsid:marinespecies.org:taxname:291421	urn:lsid:marinespecies.org:taxname:291421	urn:lsid:marinespecies.org:taxname:291421	urn:lsid:marinespecies.org:taxname:291420	Anarthron	Anarthron	Philomedinae	Kornicker, L. S. (1975). Antarctic Ostracoda (Myodocopina) Parts 1 and 2. <em>Smithsonian Contributions to Zoology.</em> 163: 1-720.	1975	Animalia	Arthropoda	Ostracoda	Myodocopida	Philomedidae	Anarthron	NA	NA	NA	Genus	Kornicker, 1975	accepted	2014-08-13	Brandão, S.N.; Antonietto, L.S; Nery, D.G.; Pereira, J.S.; Praxedes, R.A.; Santos, S.G.; Karanovic, I. (2024). World Ostracoda Database. Anarthron Kornicker, 1975. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=291421	https://www.marinespecies.org/aphia.php?p=taxdetails&id=291421	NA	NA	NA	291421	291420	NA	NA	NA	R00810	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
ANTIPLANES	R00841	432398	urn:lsid:marinespecies.org:taxname:432398	urn:lsid:marinespecies.org:taxname:432398	urn:lsid:marinespecies.org:taxname:432398	urn:lsid:marinespecies.org:taxname:411814	Antiplanes	Antiplanes	Pseudomelatomidae	Dall, W. H. (1902). Illustrations and descriptions of new, unfigured, or imperfectly known shells, chiefly American in the U. S. National Museum. <em>Proceedings of the United States National Museum.</em> 24 (1264): 499-566, pls 27-40.	1902	Animalia	Mollusca	Gastropoda	Neogastropoda	Pseudomelatomidae	Antiplanes	NA	NA	NA	Genus	Dall, 1902	accepted	2019-09-16	MolluscaBase eds. (2024). MolluscaBase. Antiplanes Dall, 1902. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=432398	https://www.marinespecies.org/aphia.php?p=taxdetails&id=432398	NA	NA	NA	432398	411814	NA	NCBI:txid1077928	NA	R00841	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
APLYSIA	R03545	137654	urn:lsid:marinespecies.org:taxname:137654	urn:lsid:marinespecies.org:taxname:137654	urn:lsid:marinespecies.org:taxname:137654	urn:lsid:marinespecies.org:taxname:172	Aplysia	Aplysia	Aplysiidae	Linnaeus, C. (1767). Systema naturae per regna tria naturae: secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis. Ed. 12. 1., Regnum Animale. 1 & 2. <em>Holmiae [Stockholm], Laurentii Salvii.</em> pp. 1-532 [1766] pp. 533-1327 [1767].	1767	Animalia	Mollusca	Gastropoda	Aplysiida	Aplysiidae	Aplysia	NA	NA	NA	Genus	Linnaeus, 1767	accepted	2018-09-10	MolluscaBase eds. (2024). MolluscaBase. Aplysia Linnaeus, 1767. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137654	https://www.marinespecies.org/aphia.php?p=taxdetails&id=137654	NA	NA	NA	137654	172	NA	NCBI:txid6498	NA	R03545	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
APSEUDOMORPHA	R03574	246895	urn:lsid:marinespecies.org:taxname:246895	urn:lsid:marinespecies.org:taxname:246895	urn:lsid:marinespecies.org:taxname:246895	urn:lsid:marinespecies.org:taxname:136169	Apseudomorpha	Apseudomorpha	Metapseudinae	Miller, M.A. (1940). The isopod Crustacea of the Hawaiian Islands (Chelifera and Valvifera. Occasional Papers of the Bernice P. Bishop Museum, Honolulu. 15 (26): 295-321.	1940	Animalia	Arthropoda	Malacostraca	Tanaidacea	Metapseudidae	Apseudomorpha	NA	NA	NA	Genus	Miller, 1940	accepted	2014-10-16	WoRMS (2024). Apseudomorpha Miller, 1940. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=246895	https://www.marinespecies.org/aphia.php?p=taxdetails&id=246895	NA	NA	NA	246895	136169	NA	NCBI:txid401322	NA	R03574	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
